,Date,Yield,Growth,Water,Overlap
132,2022-01-06 13:00:00,4.157117528629422,0.05788176126437145,9991,0
133,2022-01-06 14:00:00,4.215435003177806,0.05831747454838342,9991,0
134,2022-01-06 15:00:00,4.2732972550531745,0.057862251875368365,9991,0
135,2022-01-06 16:00:00,4.332705605090846,0.05940835003767109,9991,0
136,2022-01-06 17:00:00,4.39352211769228,0.06081651260143337,9991,0
137,2022-01-06 18:00:00,4.452411962214862,0.0588898445225826,9991,0
138,2022-01-06 19:00:00,4.514574758445952,0.06216279623109052,9991,0
139,2022-01-06 20:00:00,4.57334134142428,0.05876658297832753,9991,0
140,2022-01-06 21:00:00,4.632774986353952,0.059433644929672305,9991,0
141,2022-01-06 22:00:00,4.695336883742357,0.06256189738840448,9991,0
142,2022-01-06 23:00:00,4.7565062672826155,0.06116938354025846,9991,0
143,2022-01-07 00:00:00,4.820829856031044,0.06432358874842957,9991,0
144,2022-01-07 01:00:00,4.883883215310981,0.06305335927993555,9991,0
145,2022-01-07 02:00:00,4.947410831041189,0.06352761573020888,9991,0
146,2022-01-07 03:00:00,5.010499913365349,0.06308908232415972,9991,0
147,2022-01-07 04:00:00,5.074105972811617,0.06360605944626901,9991,0
148,2022-01-07 05:00:00,5.139771892712378,0.0656659199007613,9991,0
149,2022-01-07 06:00:00,5.204720641345567,0.0649487486331881,9991,0
150,2022-01-07 07:00:00,5.270363697464544,0.06564305611897696,9991,0
151,2022-01-07 08:00:00,5.3352547535184245,0.06489105605388053,9991,0
152,2022-01-07 09:00:00,5.400590808394788,0.06533605487636329,9991,0
153,2022-01-07 10:00:00,5.467698203015204,0.06710739462041618,9991,0
154,2022-01-07 11:00:00,5.533539588108048,0.06584138509284407,9991,0
155,2022-01-07 12:00:00,5.599390008881183,0.06585042077313515,9991,0
156,2022-01-07 13:00:00,5.665360001742523,0.06596999286134016,9991,0
157,2022-01-07 14:00:00,5.732346735089634,0.06698673334711157,9991,0
158,2022-01-07 15:00:00,5.800439657535874,0.06809292244623931,9991,0
159,2022-01-07 16:00:00,5.866917889343664,0.06647823180779039,9991,0
160,2022-01-07 17:00:00,5.933486667568307,0.06656877822464209,9991,0
161,2022-01-07 18:00:00,6.001797875516017,0.06831120794771084,9991,0
162,2022-01-07 19:00:00,6.068918787829388,0.0671209123133711,9991,0
163,2022-01-07 20:00:00,6.138944522871723,0.07002573504233395,9991,0
164,2022-01-07 21:00:00,6.209179577066764,0.0702350541950416,9991,0
165,2022-01-07 22:00:00,6.279086248241752,0.0699066711749871,9991,0
166,2022-01-07 23:00:00,6.34866217499328,0.06957592675152903,9991,0
167,2022-01-08 00:00:00,6.420479104573726,0.07181692958044636,9991,0
168,2022-01-08 01:00:00,6.492510778952121,0.07203167437839385,9991,0
169,2022-01-08 02:00:00,6.562363653106553,0.06985287415443295,9991,0
170,2022-01-08 03:00:00,6.63437758247992,0.07201392937336695,9991,0
171,2022-01-08 04:00:00,6.703080913318729,0.06870333083880908,9991,0
172,2022-01-08 05:00:00,6.77558538619248,0.07250447287374964,9991,0
173,2022-01-08 06:00:00,6.844859385646472,0.06927399945399235,9991,0
174,2022-01-08 07:00:00,6.917904299154134,0.07304491350766311,9991,0
175,2022-01-08 08:00:00,6.991895766702147,0.07399146754801225,9991,0
176,2022-01-08 09:00:00,7.065103611141495,0.07320784443934857,9991,0
177,2022-01-08 10:00:00,7.136229345094739,0.07112573395324313,9991,0
178,2022-01-08 11:00:00,7.213181411353309,0.07695206625856946,9991,0
179,2022-01-08 12:00:00,7.28774248452121,0.07456107316790198,9991,0
180,2022-01-08 13:00:00,7.361875565266157,0.07413308074494657,9991,0
181,2022-01-08 14:00:00,7.435713566797577,0.07383800153141908,9991,0
182,2022-01-08 15:00:00,7.5102325684818005,0.07451900168422429,9991,0
183,2022-01-08 16:00:00,7.58553454703286,0.07530197855105929,9991,0
